run_id,seed,scenario_id,fault_type,fault_active,fault_severity,gNb_num,ue_per_gNb,effective_lambda_ull,effective_lambda_be,flow_id,src_ip,dst_ip,protocol,src_port,dst_port,tx_packets,rx_packets,lost_packets,undelivered_packets,tx_bytes,rx_bytes,throughput_mbps,mean_delay_ms,mean_jitter_ms,packet_loss_ratio,undelivered_ratio,time_first_tx_s,time_last_rx_s,flow_duration_s,sim_time_s,source_file
6,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,2468,0,3532,768000,315904,4.212699,176.880411,0.142957,0.0,0.588667,0.4,0.999908,0.599908,1.0,seed1_run6_radio_degradation_s2.csv
6,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,5990,0,10,7680000,7667200,102.27621,0.900967,0.119927,0.0,0.001667,0.4,0.999725,0.599725,1.0,seed1_run6_radio_degradation_s2.csv
6,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,1230,0,4770,768000,157440,2.100835,238.819522,0.387134,0.0,0.795,0.4,0.999533,0.599533,1.0,seed1_run6_radio_degradation_s3.csv
6,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,5990,0,10,7680000,7667200,102.27621,0.900967,0.119927,0.0,0.001667,0.4,0.999725,0.599725,1.0,seed1_run6_radio_degradation_s3.csv
6,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,12000,11994,0,6,1536000,1535232,20.471832,0.296637,0.022168,0.0,0.0005,0.4,0.999939,0.599939,1.0,seed1_run6_traffic_overload_s1.csv
6,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,12000,11121,0,879,15360000,14234880,189.851514,23.188329,0.082226,0.0,0.07325,0.4,0.999832,0.599832,1.0,seed1_run6_traffic_overload_s1.csv
6,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,24000,23987,0,13,3072000,3070336,40.939824,0.325803,0.030002,0.0,0.000542,0.4,0.999971,0.599971,1.0,seed1_run6_traffic_overload_s2.csv
6,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,24000,11121,0,12879,30720000,14234880,189.851514,162.188329,0.067968,0.0,0.536625,0.4,0.999832,0.599832,1.0,seed1_run6_traffic_overload_s2.csv
6,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,36000,27767,0,8233,4608000,3554176,47.391341,68.945969,0.026744,0.0,0.228694,0.4,0.999971,0.599971,1.0,seed1_run6_traffic_overload_s3.csv
6,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,36000,11121,0,24879,46080000,14234880,189.851514,208.519809,0.063215,0.0,0.691083,0.4,0.999832,0.599832,1.0,seed1_run6_traffic_overload_s3.csv
7,1,none,none,0,0,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5998,0,2,768000,767744,10.236785,0.27662,0.03043,0.0,0.000333,0.4,0.999988,0.599988,1.0,seed1_run7_none.csv
7,1,none,none,0,0,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,753,0,5247,7680000,963840,12.854796,263.677596,0.694215,0.0,0.8745,0.4,0.999832,0.599832,1.0,seed1_run7_none.csv
